Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","48412023","3769771","RUA JOAO CONY","","RS","4314100","5M00G9W","WCDMA","","","2160","1970","250","FB","","NA","760","002000703518","16.4","23","55","0","X","94","013911303257","81.8","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f65544","2038-04-30","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","33992016","3769771","RUA JOAO CONY","","RS","4314100","5M00G9W","WCDMA","","","2140","1950","360","FB","","NA","760","002000703518","16.4","23","55","0","X","94","013911303257","81.8","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f65545","2026-06-01","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","155832022","3769771","RUA JOAO CONY","","RS","4314100","200KG7W","GSM","","","874.5","829.5","360","FB","","NA","760","021521203257","12.8","30","68","0","X","96","007160803257","55","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f65547","2028-11-29","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","155832022","3769771","RUA JOAO CONY","","RS","4314100","200KG7W","GSM","","","874.5","829.5","360","FB","","NA","760","021521203257","12.8","30","68","0","X","96","017030603257","64.5","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f65548","2028-11-29","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","155832022","3769771","RUA JOAO CONY","","RS","4314100","200KG7W","GSM","","","874.5","829.5","250","FB","","NA","760","021521203257","12.8","30","68","0","X","96","017030603257","64.5","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f65549","2028-11-29","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","155832022","3769771","RUA JOAO CONY","","RS","4314100","5M00G7W","WCDMA","","","874.5","829.5","250","FB","","NA","760","002000703518","16.4","23","55","0","X","94","027610903257","67","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f6554a","2028-11-29","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","155832022","3769771","RUA JOAO CONY","","RS","4314100","200KG7W","GSM","","","890.75","845.75","250","FB","","NA","760","021521203257","12.8","30","68","0","X","96","007160803257","55","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f6554c","2028-11-29","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","155832022","3769771","RUA JOAO CONY","","RS","4314100","5M00G7W","WCDMA","","","890.75","845.75","360","FB","","NA","760","002000703518","16.4","23","55","0","X","94","027610903257","67","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f6554d","2028-11-29","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","155832022","3769771","RUA JOAO CONY","","RS","4314100","5M00G7W","WCDMA","","","890.75","845.75","250","FB","","NA","760","002000703518","16.4","23","55","0","X","94","027610903257","67","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f6554e","2028-11-29","","","Passo Fundo"
"LIC-LIC-01","TELEFONICA BRASIL S.A.","50409146366","010","48412023","3769771","RUA JOAO CONY","","RS","4314100","5M00G9W","WCDMA","","","2160","1970","360","FB","","NA","760","002000703518","16.4","23","55","0","X","94","013911303257","81.8","-28.27","-52.38833","G","2023-07-13","1999-10-05","","4d5c019f6554f","2038-04-30","","","Passo Fundo"
